id,first_name,last_name,gender,behaviour_rating,Count_of_nasty_incidents,Nice
1,Tull,Auten,Male,0.44,Monthly,0
2,Evey,Robelow,Female,0.45,Monthly,0
3,Stinky,Belison,Male,0.55,Never,0
4,Archibald,Westgarth,Male,0.11,Daily,1
5,Berkeley,Lutwidge,Male,1.56,Often,0
6,Jacobo,Redhole,Male,0.72,Never,0
7,Normand,Michurin,Male,0.13,Weekly,1
8,Anthony,Chark,Male,0.31,Often,1
9,Jandy,Basillon,Female,0.17,Weekly,0
10,Clementine,Duthy,Female,0.09,Yearly,0
11,Brear,Stephen,Female,-0.94,Often,0
12,Verena,Elmes,Female,0.58,Weekly,0
13,Tirrell,Vreede,Male,1.19,Daily,0
14,Humphrey,Sandeland,Male,0.57,Yearly,0
15,Courtenay,Shatford,Female,1.12,Daily,0
16,Rockie,Pahler,Male,0.14,Weekly,0
17,Marleah,Yeoland,Female,1.53,Monthly,0
18,Lennard,Lindsey,Male,1.18,Often,0
19,Joshua,Bonhomme,Male,0.35,Often,0
20,Maybelle,Souster,Female,0.73,Often,1
21,Leone,Kordova,Female,0.27,Daily,0
22,Austine,Nightingale,Female,-0.34,Seldom,0
23,Rem,Guilloux,Male,0.48,Weekly,0
24,Angeli,Eggleton,Male,0.45,Yearly,1
25,Eliot,Lace,Male,0.24,Monthly,0
26,Chelsea,Rosnau,Female,0.72,Daily,0
27,Krista,Rodie,Female,0.35,Weekly,0
28,Raddy,Cheeney,Male,0.28,Never,1
29,Ginny,Jentet,Female,0.34,Weekly,0
30,Ardra,Currm,Female,-0.38,Monthly,0
31,Sim,Coil,Male,0.05,Often,0
32,Jarret,Sutheran,Male,-0.03,Daily,0
33,Christy,Dransfield,Male,0.69,Never,0
34,Renault,McLise,Male,0.59,Once,0
35,Burton,Allan,Male,0.2,Monthly,0
36,Guthrey,Saddleton,Male,1.23,Daily,0
37,Cyrille,Doddridge,Male,1.33,Never,0
38,Danielle,Truss,Female,0.54,Weekly,0
39,Leann,Cawtheray,Female,0.69,Never,0
40,Addie,Pietri,Female,0.75,Weekly,0
41,Garek,Rhoddie,Male,0.57,Weekly,0
42,Codi,Burgett,Male,0.23,Seldom,0
43,Harrie,Tirte,Female,1.15,Never,0
44,Seth,Bassil,Male,0.19,Never,1
45,Bartholomew,Neligan,Male,0.34,Once,0
46,Skip,Bradnock,Male,0.31,Never,0
47,Jania,Coie,Female,0.13,Monthly,0
48,Ofella,Winterson,Female,0.25,Never,0
49,Derward,Tolossi,Male,0.47,Seldom,0
